Station code,Name of the Monitoring Location,State Name,Temperature 0 C_min,Temperature 0 C_max,Dissolved Oxygen mg L_min,Dissolved Oxygen mg L_MAX,pH6.5 MIN,pH6.5 MAX,Conductivity µmho cm MIN,conductivity µmho cm MAX,Bio-chemical Oxygen Demand mg L,Bio-chemical Oxygen Demand mg L MAX,Nitrate mg L MIN,Nitrate mgL MAX,Fecal Coliform MIN,Fecacal coliform MAX,Total Coliform MPN 100 mL MIN,Total Coliform MPN 100 mL2 MAX,Year,aquatic_score,water_type,pH_category
1690,"RIVER     SUTLEJ     AT     U/S BUDHA  NALLAH  (UPPER), PUNJAB",PUNJAB,9.0,30.0,6.2,8.0,7.4,8.2,254.0,438.0,1.1,1.4,1.6,2.6,400.0,1700.0,1000.0,4300.0,2022,3,Good,Neutral (6.5–8.5)
1020,"RIVER   SUTLEJ   AT   100M D/S  BUDHA  NALA  CONFL., LUDHIANA",PUNJAB,10.0,32.0,1.1,6.0,7.2,7.7,332.0,1302.0,2.6,140.0,1.6,3.4,70000.0,94402.99494284726,8970.337549488055,206671.80172366623,2022,1,Polluted,Neutral (6.5–8.5)
1022,"RIVER  SUTLEJ  AT  BRIDGE HARIKE, AMRITSAR",PUNJAB,13.0,28.0,4.8,7.6,7.2,8.5,220.0,660.0,1.2,4.0,1.3,2.3,780.0,2100.0,2200.0,5800.0,2022,1,Polluted,Neutral (6.5–8.5)
10025,RIVER           SUTLEJ           AT JALANDHAR   U/S   (PEERU SHAH KA DARGAH),PUNJAB,10.0,37.0,0.0,0.0,6.9,7.9,792.0,1210.0,50.0,85.0,3.0,5.2,33000.0,94402.99494284726,8970.337549488055,206671.80172366623,2022,1,Polluted,Neutral (6.5–8.5)
10026,"RIVER           SUTLEJ           AT JALANDHAR                      D/S
(MALSIAN BRIDGE)",PUNJAB,11.0,36.0,0.0,0.0,7.2,7.8,589.0,1260.0,50.0,87.0,4.6,7.2,22000.0,94402.99494284726,79000.0,206671.80172366623,2022,1,Polluted,Neutral (6.5–8.5)
1021,"RIVER   SUTLEJ   AT   BOAT BDG. DHARMKOTNAKODAR
ROAD, JALANDHAR",PUNJAB,12.0,29.0,1.2,6.2,7.1,8.5,320.0,1023.0,1.4,70.0,1.3,3.0,4600.0,94402.99494284726,70000.0,206671.80172366623,2022,1,Polluted,Neutral (6.5–8.5)
1381,"RIVER SUTLEJ AT D/S EAST BEIN, PUNJAB",PUNJAB,13.0,29.0,1.4,5.8,7.1,8.4,307.0,1045.0,2.5,37.0,1.5,3.3,31000.0,94402.99494284726,84000.0,206671.80172366623,2022,1,Polluted,Neutral (6.5–8.5)
1691,"RIVER     SUTLEJ     AT     U/S HUSSANIWALA      -      H/W
FEROZEPUR, PUNJAB",PUNJAB,11.0,30.0,5.6,8.8,7.2,8.3,232.0,353.0,1.1,1.3,1.2,1.9,250.0,1300.0,580.0,3300.0,2022,3,Good,Neutral (6.5–8.5)
1692,"RIVER     SUTLEJ     AT     D/S HUSSANIWALA-H/W FEROZEPUR, PUNJAB",PUNJAB,12.0,29.0,5.6,8.5,7.2,8.4,234.0,360.0,1.2,1.4,1.2,2.0,180.0,1700.0,610.0,3400.0,2022,3,Good,Neutral (6.5–8.5)
4059,"RIVER RAVI AT RANJIT SAGAR        DAM,        AT PANAGAR (BASOHIL)",JAMMU & KASHMIR,21.0,24.0,7.0,7.6,8.2,8.56,176.0,186.0,2.6251969852689276,5.892971727105102,0.7343646138807429,2.9544753347427766,3538.5852697095434,94402.99494284726,8970.337549488055,206671.80172366623,2022,1,Polluted,Neutral (6.5–8.5)
